Student,Teacher,Gender,Ethnic,Freeredu,Score,wesson
85.0,Smith,Male,Caucasian,Free lunch,49.0,Ruger_Smith
86.0,Smith,Female,African-American,Free lunch,72.0,Ruger_Smith
87.0,Smith,Female,Caucasian,Paid lunch,89.0,Ruger_Smith
88.0,Smith,Male,African-American,Paid lunch,65.0,Ruger_Smith
89.0,Smith,Female,Asian,Paid lunch,85.0,Ruger_Smith
90.0,Smith,Male,African-American,Paid lunch,80.0,Ruger_Smith
91.0,Smith,Female,Caucasian,Free lunch,65.0,Ruger_Smith
92.0,Smith,Male,Hispanic,Free lunch,91.0,Ruger_Smith
93.0,Smith,Female,Caucasian,Paid lunch,79.0,Ruger_Smith
94.0,Smith,Male,Hispanic,Free lunch,79.0,Ruger_Smith
95.0,Smith,Male,Hispanic,Paid lunch,62.0,Ruger_Smith
96.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
97.0,Smith,Male,African-American,Paid lunch,46.0,Ruger_Smith
98.0,Smith,Male,Asian,Paid lunch,48.0,Ruger_Smith
99.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
100.0,Smith,Male,Asian,Paid lunch,95.0,Ruger_Smith
101.0,Smith,Female,Asian,Paid lunch,91.0,Ruger_Smith
102.0,Smith,Female,Caucasian,Paid lunch,53.0,Ruger_Smith
103.0,Smith,Female,Caucasian,Paid lunch,83.0,Ruger_Smith
104.0,Smith,Male,African-American,Free lunch,77.0,Ruger_Smith
105.0,Smith,Male,African-American,Free lunch,67.0,Ruger_Smith
106.0,Smith,Male,Caucasian,Paid lunch,52.0,Ruger_Smith
107.0,Smith,Male,Hispanic,Free lunch,57.0,Ruger_Smith
108.0,Smith,Female,Hispanic,Free lunch,69.0,Ruger_Smith
109.0,Smith,Female,Hispanic,Free lunch,92.0,Ruger_Smith
110.0,Smith,Female,African-American,Free lunch,68.0,Ruger_Smith
111.0,Smith,Female,Asian,Paid lunch,48.0,Ruger_Smith
112.0,Smith,Female,Caucasian,Paid lunch,61.0,Ruger_Smith
113.0,Smith,Female,Asian,Free lunch,57.0,Ruger_Smith
114.0,Smith,Female,African-American,Paid lunch,91.0,Ruger_Smith
115.0,Smith,Female,Caucasian,Free lunch,84.0,Ruger_Smith
116.0,Smith,Male,Hispanic,Paid lunch,71.0,Ruger_Smith
117.0,Smith,Male,Asian,Paid lunch,64.0,Ruger_Smith
118.0,Smith,Female,Caucasian,Paid lunch,51.0,Ruger_Smith
119.0,Smith,Male,African-American,Free lunch,95.0,Ruger_Smith
120.0,Smith,Male,Asian,Paid lunch,84.0,Ruger_Smith
121.0,Smith,Male,Hispanic,Paid lunch,79.0,Ruger_Smith
122.0,Smith,Female,Hispanic,Paid lunch,66.0,Ruger_Smith
123.0,Smith,Male,Asian,Free lunch,76.0,Ruger_Smith
124.0,Smith,Male,African-American,Free lunch,87.0,Ruger_Smith
125.0,Smith,Male,Caucasian,Free lunch,73.0,Ruger_Smith
126.0,Smith,Female,Hispanic,Paid lunch,74.0,Ruger_Smith
127.0,Smith,Male,Caucasian,Free lunch,60.0,Ruger_Smith
128.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
129.0,Smith,Female,Caucasian,Paid lunch,60.0,Ruger_Smith
130.0,Smith,Male,Asian,Free lunch,65.0,Ruger_Smith
131.0,Smith,Male,Asian,Paid lunch,52.0,Ruger_Smith
132.0,Smith,Male,African-American,Paid lunch,48.0,Ruger_Smith
133.0,Smith,Female,Caucasian,Paid lunch,95.0,Ruger_Smith
134.0,Smith,Female,Asian,Paid lunch,86.0,Ruger_Smith
135.0,Smith,Male,Hispanic,Paid lunch,82.0,Ruger_Smith
136.0,Smith,Male,African-American,Free lunch,60.0,Ruger_Smith
137.0,Smith,Female,Hispanic,Paid lunch,84.0,Ruger_Smith
138.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
139.0,Smith,Female,Asian,Paid lunch,71.0,Ruger_Smith
140.0,Smith,Male,Hispanic,Free lunch,59.0,Ruger_Smith
141.0,Wesson,Male,Caucasian,Paid lunch,51.0,Wesson
142.0,Wesson,Male,Hispanic,Free lunch,71.0,Wesson
143.0,Wesson,Male,African-American,Free lunch,77.0,Wesson
144.0,Wesson,Female,Asian,Paid lunch,85.0,Wesson
145.0,Wesson,Female,Caucasian,Paid lunch,89.0,Wesson
146.0,Wesson,Male,Asian,Free lunch,62.0,Wesson
147.0,Wesson,Male,Hispanic,Free lunch,59.0,Wesson
148.0,Wesson,Male,Asian,Free lunch,61.0,Wesson
149.0,Wesson,Male,African-American,Free lunch,89.0,Wesson
150.0,Wesson,Male,African-American,Paid lunch,61.0,Wesson
151.0,Wesson,Male,African-American,Free lunch,93.0,Wesson
152.0,Wesson,Male,Caucasian,Free lunch,70.0,Wesson
153.0,Wesson,Female,Caucasian,Free lunch,61.0,Wesson
154.0,Wesson,Male,African-American,Paid lunch,46.0,Wesson
155.0,Wesson,Female,Hispanic,Free lunch,52.0,Wesson
156.0,Wesson,Female,Asian,Free lunch,82.0,Wesson
157.0,Wesson,Male,Caucasian,Free lunch,59.0,Wesson
158.0,Wesson,Female,Hispanic,Paid lunch,78.0,Wesson
159.0,Wesson,Male,African-American,Free lunch,73.0,Wesson
160.0,Wesson,Female,Asian,Free lunch,93.0,Wesson
161.0,Wesson,Female,Hispanic,Free lunch,88.0,Wesson
162.0,Wesson,Male,Caucasian,Free lunch,63.0,Wesson
163.0,Wesson,Male,Asian,Free lunch,79.0,Wesson
164.0,Wesson,Male,Hispanic,Paid lunch,57.0,Wesson
165.0,Wesson,Female,Caucasian,Paid lunch,91.0,Wesson
166.0,Wesson,Female,Hispanic,Free lunch,76.0,Wesson
167.0,Wesson,Male,Caucasian,Free lunch,68.0,Wesson
168.0,Wesson,Male,African-American,Paid lunch,85.0,Wesson
169.0,Wesson,Female,Hispanic,Free lunch,53.0,Wesson
170.0,Wesson,Male,African-American,Paid lunch,48.0,Wesson
171.0,Wesson,Male,Hispanic,Free lunch,53.0,Wesson
172.0,Wesson,Male,Asian,Free lunch,66.0,Wesson
173.0,Wesson,Female,Hispanic,Paid lunch,83.0,Wesson
174.0,Wesson,Female,Asian,Free lunch,65.0,Wesson
175.0,Wesson,Female,Hispanic,Free lunch,58.0,Wesson
176.0,Wesson,Male,Hispanic,Paid lunch,67.0,Wesson
177.0,Wesson,Male,Hispanic,Paid lunch,57.0,Wesson
178.0,Wesson,Female,Asian,Free lunch,82.0,Wesson
179.0,Wesson,Female,Caucasian,Paid lunch,58.0,Wesson
180.0,Wesson,Female,African-American,Free lunch,87.0,Wesson
181.0,Wesson,Female,Hispanic,Free lunch,68.0,Wesson
182.0,Wesson,Female,Asian,Free lunch,70.0,Wesson
183.0,Wesson,Female,African-American,Free lunch,63.0,Wesson
184.0,Wesson,Male,Asian,Free lunch,52.0,Wesson
185.0,Wesson,Male,Hispanic,Free lunch,72.0,Wesson
186.0,Wesson,Female,African-American,Free lunch,83.0,Wesson
187.0,Wesson,Male,Caucasian,Free lunch,45.0,Wesson
188.0,Wesson,Male,Hispanic,Paid lunch,81.0,Wesson
189.0,Wesson,Female,African-American,Paid lunch,65.0,Wesson
190.0,Wesson,Male,African-American,Free lunch,89.0,Wesson
191.0,Wesson,Female,Caucasian,Paid lunch,64.0,Wesson
192.0,Wesson,Female,Asian,Paid lunch,85.0,Wesson
193.0,Wesson,Male,Caucasian,Paid lunch,90.0,Wesson
194.0,Wesson,Female,Hispanic,Free lunch,64.0,Wesson
195.0,Wesson,Female,Caucasian,Paid lunch,68.0,Wesson
196.0,Wesson,Female,Hispanic,Paid lunch,84.0,Wesson
197.0,Wesson,Female,African-American,Free lunch,83.0,Wesson
198.0,Wesson,Female,Asian,Paid lunch,93.0,Wesson
199.0,Wesson,Male,Caucasian,Paid lunch,47.0,Wesson
200.0,Wesson,Female,Hispanic,Free lunch,83.0,Wesson
201.0,Wesson,Female,Asian,Free lunch,53.0,Wesson
202.0,Wesson,Male,Caucasian,Paid lunch,79.0,Wesson
203.0,Wesson,Male,Asian,Free lunch,87.0,Wesson
204.0,Wesson,Male,African-American,Paid lunch,89.0,Wesson
205.0,Wesson,Female,Asian,Paid lunch,56.0,Wesson
206.0,Wesson,Female,Hispanic,Paid lunch,83.0,Wesson
207.0,Wesson,Male,Caucasian,Paid lunch,45.0,Wesson
208.0,Wesson,Male,Caucasian,Paid lunch,75.0,Wesson
209.0,Wesson,Female,Caucasian,Free lunch,58.0,Wesson
210.0,Wesson,Female,African-American,Free lunch,72.0,Wesson
211.0,Wesson,Male,Caucasian,Paid lunch,79.0,Wesson
212.0,Wesson,Male,African-American,Paid lunch,56.0,Wesson
213.0,Wesson,Male,Hispanic,Free lunch,94.0,Wesson
214.0,Wesson,Male,Hispanic,Paid lunch,91.0,Wesson
215.0,Wesson,Female,African-American,Paid lunch,53.0,Wesson
216.0,Wesson,Male,Hispanic,Paid lunch,57.0,Wesson
,,,,,,Ruger_Smith
